ID Date OpponentID HomeAway HomeGoals AwayGoals Result Formation 
01 2017-08-12 18 A 3 3 4-3-3 00-00-00-00-00-00-00-00-00-00-00
02 2017-08-19 06 H 1 0 4-3-3 00-00-00-00-00-00-00-00-00-00-00
03 2017-08-27 01 H 4 0 4-3-3 00-00-00-00-00-00-00-00-00-00-00
04 2017-09-09 11 A 5 0 4-3-3 00-00-00-00-00-00-00-00-00-00-00
05 2017-09-16 04 H 1 1 4-3-3 00-00-00-00-00-00-00-00-00-00-00
06 2017-09-23 09 A 2 3 4-3-3 00-00-00-00-00-00-00-00-00-00-00
07 2017-10-01 13 A 1 1 4-3-3 00-00-00-00-00-00-00-00-00-00-00
08 2017-10-14 12 H 0 0 4-3-3 00-00-00-00-00-00-00-00-00-00-00
09 2017-10-22 17 A 4 1 4-3-3 00-00-00-00-00-00-00-00-00-00-00
10 2017-10-28 08 H 3 0 4-3-3 00-00-00-00-00-00-00-00-00-00-00
11 2017-11-04 20 A 1 4 4-2-2-2 00-00-00-00-00-00-00-00-00-00-00
12 2017-11-18 14 H 3 0 4-3-3 00-00-00-00-00-00-00-00-00-00-00
13 2017-11-25 05 H 1 1 4-3-3 00-00-00-00-00-00-00-00-00-00-00
14 2017-11-29 15 A 0 3 4-2-3-1 00-00-00-00-00-00-00-00-00-00-00
15 2017-12-02 03 A 1 5 3-5-1-1 00-00-00-00-00-00-00-00-00-00-00
16 2017-12-10 07 H 1 1 4-3-3 00-00-00-00-00-00-00-00-00-00-00
17 2017-12-13 19 H 0 0 4-4-2 00-00-00-00-00-00-00-00-00-00-00
18 2017-12-17 02 A 0 4 4-3-3 00-00-00-00-00-00-00-00-00-00-00
19 2017-12-22 01 A 3 3 4-2-3-1 00-00-00-00-00-00-00-00-00-00-00
20 2017-12-26 16 H 5 0 4-3-3 00-00-00-00-00-00-00-00-00-00-00
21 2017-12-30 09 H 2 1 4-3-3 00-00-00-00-00-00-00-00-00-00-00
22 2018-01-01 04 A 1 2 4-2-3-1 00-00-00-00-00-00-00-00-00-00-00
23 2018-01-14 11 H 4 3 4-3-3 00-00-00-00-00-00-00-00-00-00-00
24 2018-01-22 16 A 1 0 4-2-3-1 00-00-00-00-00-00-00-00-00-00-00
25 2018-01-30 08 A 0 3 4-3-3 00-00-00-00-00-00-00-00-00-00-00
26 2018-02-04 17 H 2 2 4-3-3 00-00-00-00-00-00-00-00-00-00-00
27 2018-02-11 14 A 0 2 4-3-3 00-00-00-00-00-00-00-00-00-00-00
28 2018-02-24 20 H 4 1 4-3-3 00-00-00-00-00-00-00-00-00-00-00
29 2018-03-03 13 H 2 0 4-3-3 00-00-00-00-00-00-00-00-00-00-00
30 2018-03-10 12 A 2 1 4-3-3 00-00-00-00-00-00-00-00-00-00-00
31 2018-03-17 18 H 5 0 4-3-3 00-00-00-00-00-00-00-00-00-00-00
32 2018-03-31 06 A 1 2 4-3-3 00-00-00-00-00-00-00-00-00-00-00
33 2018-04-07 07 A 0 0 4-3-3 00-00-00-00-00-00-00-00-00-00-00
34 2018-04-14 02 H 3 0 4-3-3 00-00-00-00-00-00-00-00-00-00-00
35 2018-04-21 19 A 2 2 4-3-3 00-00-00-00-00-00-00-00-00-00-00
36 2018-04-28 15 H 0 0 4-3-3 00-00-00-00-00-00-00-00-00-00-00
37 2018-05-06 05 A
38 2018-05-13 03 H
39 2018-07-07 01 H
40 2018-08-08 02 A
